source,target,target_type,relation
鸡骨草,中草药新医疗法处方集,Literature,cited_by
鸡骨草,南宁市药物志,Literature,cited_by
鸡骨草,常用中草药手册,Literature,cited_by
鸡骨草,虚寒体弱者慎用,Contraindication,has_contraindication
虎杖,祛风利湿,Efficacy,has_efficacy
虎杖,散瘀定痛,Efficacy,has_efficacy
虎杖,止咳化痰,Efficacy,has_efficacy
虎杖,利水渗湿退黄药,Category,belongs_to
虎杖,全国中草药资料选编,Literature,cited_by
虎杖,上海常用中草药,Literature,cited_by
虎杖,医林纂要,Literature,cited_by
虎杖,药性论,Literature,cited_by
虎杖,姚僧坦集验方,Literature,cited_by
虎杖,纲目,Literature,cited_by
虎杖,四川中药志,Literature,cited_by
虎杖,滇南本草,Literature,cited_by
虎杖,圣惠方,Literature,cited_by
虎杖,本草拾遗,Literature,cited_by
虎杖,福建药物志,Literature,cited_by
虎杖,中医药实验研究,Literature,cited_by
虎杖,孕妇忌服,Contraindication,has_contraindication
茵陈,清热利湿,Efficacy,has_efficacy
茵陈,退黄,Efficacy,has_efficacy
茵陈,利水渗湿退黄药,Category,belongs_to
茵陈,千金方,Literature,cited_by
茵陈,圣济总录,Literature,cited_by
茵陈,纲目,Literature,cited_by
茵陈,玉机微义,Literature,cited_by
茵陈,伤寒论,Literature,cited_by
茵陈,非因湿热引起的发黄忌服茵陈蓄血发黄者，热甚发黄，无湿气，禁用茵陈,Contraindication,has_contraindication
白前,肺实喘满,Efficacy,has_efficacy
白前,咳嗽,Efficacy,has_efficacy
白前,多痰,Efficacy,has_efficacy
白前,胃脘疼痛,Efficacy,has_efficacy
白前,止咳平喘药,Category,belongs_to
白前,草药手册,Literature,cited_by
白前,福建药物志,Literature,cited_by
白前,本草经疏,Literature,cited_by
百部,润肺止咳,Efficacy,has_efficacy
百部,杀虫灭虱,Efficacy,has_efficacy
百部,止咳平喘药,Category,belongs_to
百部,千金方,Literature,cited_by
百部,洞天奥旨,Literature,cited_by
百部,小儿药证直诀,Literature,cited_by
百部,安徽中草药,Literature,cited_by
百部,续十全方,Literature,cited_by
百部,新本草纲目,Literature,cited_by
百部,青岛中草药手册,Literature,cited_by
百部,本草汇言,Literature,cited_by
百部,脾胃虚弱者慎服；热嗽、水亏火炎者禁用百部,Contraindication,has_contraindication
紫菀,润肺下气,Efficacy,has_efficacy
紫菀,消痰止咳,Efficacy,has_efficacy
紫菀,止咳平喘药,Category,belongs_to
紫菀,鸡峰普济方,Literature,cited_by
紫菀,千金方,Literature,cited_by
紫菀,唐本草,Literature,cited_by
紫菀,本草再新,Literature,cited_by
紫菀,安徽中草药,Literature,cited_by
紫菀,本经,Literature,cited_by
紫菀,本草图经,Literature,cited_by
紫菀,实热者慎服,Contraindication,has_contraindication
莪术,破血行气,Efficacy,has_efficacy
莪术,消积止痛,Efficacy,has_efficacy
莪术,活血化瘀药,Category,belongs_to
莪术,药性论,Literature,cited_by
莪术,BTV科教频道,Literature,cited_by
莪术,普济方,Literature,cited_by
莪术,开宝本草,Literature,cited_by
莪术,安徽中草药,Literature,cited_by
莪术,医学入门,Literature,cited_by
莪术,丹溪心法,Literature,cited_by
莪术,孕妇禁服、虚人禁之、凡经事先期，及一切血热为病者忌之,Contraindication,has_contraindication
三棱,破血行气、消积止痛,Efficacy,has_efficacy
三棱,活血化瘀药,Category,belongs_to
三棱,黑龙江,Origin,produced_in
三棱,吉林,Origin,produced_in
三棱,辽宁等地,Origin,produced_in
三棱,医学启源,Literature,cited_by
三棱,普济方,Literature,cited_by
三棱,新疆中草药手册,Literature,cited_by
三棱,医学切问,Literature,cited_by
三棱,开宝本草,Literature,cited_by
三棱,日华子本草,Literature,cited_by
三棱,全国中草药汇编,Literature,cited_by
三棱,济生方,Literature,cited_by
三棱,全婴方,Literature,cited_by
三棱,气虚体弱、血枯经闭、月经过多、孕妇、血症者忌服,Contraindication,has_contraindication
山茱萸,补益肝肾,Efficacy,has_efficacy
山茱萸,涩精固脱,Efficacy,has_efficacy
山茱萸,收涩固精缩尿止带药,Category,belongs_to
山茱萸,医学启源,Literature,cited_by
山茱萸,衷中参西录,Literature,cited_by
山茱萸,日华子本草,Literature,cited_by
山茱萸,开宝本草,Literature,cited_by
山茱萸,本草经集注,Literature,cited_by
山茱萸,圣惠方,Literature,cited_by
山茱萸,金匮要略,Literature,cited_by
山茱萸,全生指迷方,Literature,cited_by
山茱萸,扶寿精方,Literature,cited_by
山茱萸,方龙潭家秘,Literature,cited_by
山茱萸,凡命门火炽，强阳不痿，素有湿热，小便淋涩者忌服《本草经集注》：蓼实为之使恶桔梗、防风、防己,Contraindication,has_contraindication
血竭,散瘀定痛,Efficacy,has_efficacy
血竭,止血生肌,Efficacy,has_efficacy
血竭,化瘀止血药,Category,belongs_to
血竭,杨氏家藏方,Literature,cited_by
血竭,圣济总录,Literature,cited_by
血竭,唐本草,Literature,cited_by
血竭,摘玄方,Literature,cited_by
血竭,医林集要,Literature,cited_by
血竭,圣惠方,Literature,cited_by
血竭,日华子本草,Literature,cited_by
血竭,朱氏集验医方,Literature,cited_by
血竭,海药本草,Literature,cited_by
血竭,"凡血病无瘀积者不必用""《日华子本草》：""得密陀僧良""",Contraindication,has_contraindication
飞龙掌血,祛风止痛、散瘀止血,Efficacy,has_efficacy
飞龙掌血,化瘀止血药,Category,belongs_to
飞龙掌血,中药大辞典,Literature,cited_by
飞龙掌血,四川常用中草药,Literature,cited_by
飞龙掌血,四川中药志,Literature,cited_by
飞龙掌血,中药本草,Literature,cited_by
飞龙掌血,贵阳民间药物,Literature,cited_by
飞龙掌血,陕西中草药,Literature,cited_by
飞龙掌血,云南中草药,Literature,cited_by
飞龙掌血,全国中草药汇编,Literature,cited_by
飞龙掌血,常用中草药手册,Literature,cited_by
飞龙掌血,贵阳民间药草,Literature,cited_by
飞龙掌血,贵州民间药物,Literature,cited_by
飞龙掌血,内服忌食鱼腥、豆类孕妇忌服,Contraindication,has_contraindication
天仙子,定痫安神,Efficacy,has_efficacy
天仙子,止痛解痉,Efficacy,has_efficacy
天仙子,养心安神药,Category,belongs_to
天仙子,药性论,Literature,cited_by
天仙子,雷公炮炙论,Literature,cited_by
天仙子,千金要方,Literature,cited_by
天仙子,本经,Literature,cited_by
天仙子,本草拾遗,Literature,cited_by
天仙子,别录,Literature,cited_by
天仙子,"有大毒，使用请严遵医嘱多食令人狂走，《雷公炮炙论》：""勿误服，冲人心，大烦闷，眼生星火""",Contraindication,has_contraindication
蕤仁,养肝明目、祛风散热,Efficacy,has_efficacy
蕤仁,养心安神药,Category,belongs_to
蕤仁,山西,Origin,produced_in
蕤仁,内蒙古,Origin,produced_in
蕤仁,陕西等地,Origin,produced_in
蕤仁,近效方,Literature,cited_by
蕤仁,药性论,Literature,cited_by
蕤仁,外台,Literature,cited_by
蕤仁,吴普本草,Literature,cited_by
蕤仁,兰室秘藏,Literature,cited_by
蕤仁,圣惠方,Literature,cited_by
蕤仁,本经,Literature,cited_by
蕤仁,本草拾遗,Literature,cited_by
蕤仁,本草经疏,Literature,cited_by
蕤仁,经验良方,Literature,cited_by
蕤仁,局方,Literature,cited_by
蕤仁,本草蒙筌,Literature,cited_by
蕤仁,"《本草经疏》：""目病非关风热，而因于肝肾两虚者，不宜用""",Contraindication,has_contraindication
青风藤,祛风湿,Efficacy,has_efficacy
青风藤,通经络,Efficacy,has_efficacy
青风藤,利小便,Efficacy,has_efficacy
青风藤,祛风药,Category,belongs_to
青风藤,浙江天目山药植志,Literature,cited_by
青风藤,药植志,Literature,cited_by
青风藤,纲目,Literature,cited_by
青风藤,濒湖集简方,Literature,cited_by
青风藤,温岭县药物资源名录,Literature,cited_by
青风藤,浙江药用植物志,Literature,cited_by
青风藤,陕西中草药,Literature,cited_by
青风藤,民间秘方,Literature,cited_by
青风藤,贵州民间药物,Literature,cited_by
钩藤,清热平肝,Efficacy,has_efficacy
钩藤,熄风定惊,Efficacy,has_efficacy
钩藤,息风止痉药,Category,belongs_to
钩藤,贵州草药,Literature,cited_by
钩藤,幼科指靠,Literature,cited_by
钩藤,本草征要,Literature,cited_by
钩藤,纲目,Literature,cited_by
钩藤,圣济总录,Literature,cited_by
钩藤,普济方,Literature,cited_by
钩藤,日华子本草,Literature,cited_by
钩藤,圣惠方,Literature,cited_by
钩藤,小儿药证直诀,Literature,cited_by
钩藤,安徽中草药,Literature,cited_by
钩藤,本草述,Literature,cited_by
钩藤,浙江民间常用草药,Literature,cited_by
钩藤,常用中草药手册,Literature,cited_by
钩藤,别录,Literature,cited_by
僵蚕,祛风定惊,Efficacy,has_efficacy
僵蚕,化痰散结,Efficacy,has_efficacy
僵蚕,息风止痉药,Category,belongs_to
僵蚕,药性论,Literature,cited_by
僵蚕,杨氏家藏方,Literature,cited_by
僵蚕,圣济总录,Literature,cited_by
僵蚕,千金要方,Literature,cited_by
僵蚕,本草衍义,Literature,cited_by
僵蚕,疑难杂避症简方,Literature,cited_by
莲子心,清心安神,Efficacy,has_efficacy
莲子心,交通心肾,Efficacy,has_efficacy
莲子心,涩精止血,Efficacy,has_efficacy
莲子心,养心安神药,Category,belongs_to
莲子心,食性本草,Literature,cited_by
莲子心,医林纂要,Literature,cited_by
莲子心,大明一练志,Literature,cited_by
莲子心,四科简效方,Literature,cited_by
莲子心,普济方,Literature,cited_by
莲子心,日华子本草,Literature,cited_by
莲子心,百一选方,Literature,cited_by
莲子心,温病条辨,Literature,cited_by
莲子心,脾虚便溏者慎用，不适合长期服用，,Contraindication,has_contraindication
莲子,补脾止泻,Efficacy,has_efficacy
莲子,益肾涩精,Efficacy,has_efficacy
莲子,养心安神,Efficacy,has_efficacy
莲子,养心安神药,Category,belongs_to
莲子,奇效良方,Literature,cited_by
莲子,妇人良方,Literature,cited_by
莲子,世医得效方,Literature,cited_by
莲子,纲目,Literature,cited_by
莲子,本草拾遗,Literature,cited_by
莲子,仁斋直指方,Literature,cited_by
莲子,局方,Literature,cited_by
莲子,大便秘结、中满痞胀禁服,Contraindication,has_contraindication
合欢花,舒郁安神,Efficacy,has_efficacy
合欢花,理气活络,Efficacy,has_efficacy
合欢花,养心安神药,Category,belongs_to
合欢花,中草药学,Literature,cited_by
合欢花,纲目,Literature,cited_by
合欢花,四川中药志,Literature,cited_by
合欢花,圣惠方,Literature,cited_by
合欢花,安徽中草药,Literature,cited_by
合欢花,神农本草经,Literature,cited_by
合欢花,东北常用中草药手册,Literature,cited_by
合欢花,阴虚津伤者慎用,Contraindication,has_contraindication
合欢皮,解郁宁心,Efficacy,has_efficacy
合欢皮,和血,Efficacy,has_efficacy
合欢皮,消痈肿,Efficacy,has_efficacy
合欢皮,养心安神药,Category,belongs_to
合欢皮,纲目,Literature,cited_by
合欢皮,千金要方,Literature,cited_by
合欢皮,续本事方,Literature,cited_by
合欢皮,日华子本草,Literature,cited_by
合欢皮,浙江药用植物志,Literature,cited_by
合欢皮,本草拾遗,Literature,cited_by
合欢皮,景岳全书,Literature,cited_by
合欢皮,分类草药性,Literature,cited_by
合欢皮,青岛中草药手册,Literature,cited_by
合欢皮,溃疡病及胃炎患者慎服，风热自汗、外感不眠者禁服,Contraindication,has_contraindication
酸枣仁,养心补肝,Efficacy,has_efficacy
酸枣仁,宁心安神,Efficacy,has_efficacy
酸枣仁,敛汗生津,Efficacy,has_efficacy
酸枣仁,养心安神药,Category,belongs_to
酸枣仁,药性论,Literature,cited_by
酸枣仁,普济方,Literature,cited_by
酸枣仁,简要济众方,Literature,cited_by
酸枣仁,圣惠方,Literature,cited_by
酸枣仁,本草拾遗,Literature,cited_by
酸枣仁,金匮要略,Literature,cited_by
酸枣仁,本经,Literature,cited_by
酸枣仁,局方,Literature,cited_by
酸枣仁,别录,Literature,cited_by
酸枣仁,内有实邪郁火及肾虚滑泄梦遗者慎服,Contraindication,has_contraindication
茯神木,养心安神、利水消肿、补虚治劳,Efficacy,has_efficacy
茯神木,养心安神药,Category,belongs_to
茯神木,幼幼新书,Literature,cited_by
茯神木,药性论,Literature,cited_by
茯神木,纲目,Literature,cited_by
茯神木,圣济总录,Literature,cited_by
茯神木,本草再新,Literature,cited_by
茯神木,医学入门,Literature,cited_by
茯神木,百一选方,Literature,cited_by
茯神木,神农本草,Literature,cited_by
茯神木,名医别录,Literature,cited_by
茯神木,别录,Literature,cited_by
茯神木,肾虚小便不利或不禁、虚寒滑精者慎,Contraindication,has_contraindication
柏子仁,养心安神,Efficacy,has_efficacy
柏子仁,润肠通便,Efficacy,has_efficacy
柏子仁,养心安神药,Category,belongs_to
柏子仁,药性论,Literature,cited_by
柏子仁,体仁汇编,Literature,cited_by
柏子仁,纲目,Literature,cited_by
柏子仁,世医得效方,Literature,cited_by
柏子仁,妇人良方,Literature,cited_by
柏子仁,苗族药物集,Literature,cited_by
柏子仁,全国中草药新医疗法展览会技术资料选编,Literature,cited_by
柏子仁,贵州民间方药集,Literature,cited_by
柏子仁,本草衍义,Literature,cited_by
柏子仁,青岛中草药手册,Literature,cited_by
柏子仁,别录,Literature,cited_by
柏子仁,便溏及痰多者忌服,Contraindication,has_contraindication
龙齿,镇惊安神,Efficacy,has_efficacy
龙齿,除烦热,Efficacy,has_efficacy
龙齿,重镇安神药,Category,belongs_to
龙齿,药性论,Literature,cited_by
龙齿,小儿卫生总微论方,Literature,cited_by
龙齿,日华子本草,Literature,cited_by
龙齿,本草经集注,Literature,cited_by
龙齿,雷公炮制药性解,Literature,cited_by
龙齿,圣惠方,Literature,cited_by
龙齿,本经,Literature,cited_by
龙齿,朱氏集验方,Literature,cited_by
龙齿,别录,Literature,cited_by
龙齿,① 《本草经集注》：得人参、牛黄良畏石膏②《雷公炮制药性解》：畏干漆、蜀椒、理石,Contraindication,has_contraindication
朱砂,清心镇惊,Efficacy,has_efficacy
朱砂,安神解毒,Efficacy,has_efficacy
朱砂,重镇安神药,Category,belongs_to
朱砂,古今医统,Literature,cited_by
朱砂,纲目,Literature,cited_by
朱砂,外台,Literature,cited_by
朱砂,圣济总录,Literature,cited_by
朱砂,普济方,Literature,cited_by
朱砂,药对,Literature,cited_by
朱砂,本草从新,Literature,cited_by
朱砂,士材三书,Literature,cited_by
朱砂,医学入门,Literature,cited_by
朱砂,本经,Literature,cited_by
朱砂,广济方,Literature,cited_by
朱砂,百一选方,Literature,cited_by
朱砂,片玉心书,Literature,cited_by
朱砂,《药性论,Literature,cited_by
朱砂,唐瑶经验方,Literature,cited_by
朱砂,摘元方,Literature,cited_by
朱砂,别录,Literature,cited_by
金礞石,坠痰下气,Efficacy,has_efficacy
金礞石,平肝镇惊、消食攻积,Efficacy,has_efficacy
金礞石,重镇安神药,Category,belongs_to
金礞石,婴孩宝书,Literature,cited_by
金礞石,圣惠方,Literature,cited_by
金礞石,医学入门,Literature,cited_by
金礞石,方脉正宗,Literature,cited_by
金礞石,《纲目,Literature,cited_by
金礞石,虚弱之人及孕妇禁服,Contraindication,has_contraindication
青礞石,坠痰下气,Efficacy,has_efficacy
青礞石,平肝镇惊,Efficacy,has_efficacy
青礞石,重镇安神药,Category,belongs_to
青礞石,中药大辞典,Literature,cited_by
青礞石,杨氏家藏方,Literature,cited_by
青礞石,普济方,Literature,cited_by
青礞石,惠直堂经验方,Literature,cited_by
青礞石,圣惠方,Literature,cited_by
青礞石,医学入门,Literature,cited_by
青礞石,《纲目,Literature,cited_by
青礞石,脾胃虚弱、阴虚燥痰者及孕妇忌服,Contraindication,has_contraindication
磁石,平肝潜阳,Efficacy,has_efficacy
磁石,安神镇惊,Efficacy,has_efficacy
磁石,聪耳明目,Efficacy,has_efficacy
磁石,纳气平喘,Efficacy,has_efficacy
磁石,重镇安神药,Category,belongs_to
磁石,河北,Origin,produced_in
磁石,山东,Origin,produced_in
磁石,江苏,Origin,produced_in
磁石,湖北,Origin,produced_in
磁石,广东,Origin,produced_in
磁石,福建,Origin,produced_in
磁石,四川,Origin,produced_in
磁石,云南等地,Origin,produced_in
磁石,乾坤秘韫,Literature,cited_by
磁石,千金方,Literature,cited_by
磁石,古今录验方,Literature,cited_by
磁石,纲目,Literature,cited_by
磁石,圣济总录,Literature,cited_by
磁石,千金要方,Literature,cited_by
磁石,日华子本草,Literature,cited_by
磁石,本草衍义,Literature,cited_by
磁石,卫生家宝方,Literature,cited_by
磁石,别录,Literature,cited_by
磁石,脾胃虚弱者慎服，不宜多服、久服重镇伤气，可暂用而不可久,Contraindication,has_contraindication
紫石英,镇心安神,Efficacy,has_efficacy
紫石英,降逆气,Efficacy,has_efficacy
紫石英,暖子=宫,Efficacy,has_efficacy
紫石英,重镇安神药,Category,belongs_to
紫石英,河北,Origin,produced_in
紫石英,山东,Origin,produced_in
紫石英,江苏,Origin,produced_in
紫石英,湖北,Origin,produced_in
紫石英,广东,Origin,produced_in
紫石英,福建,Origin,produced_in
紫石英,四川,Origin,produced_in
紫石英,云南等地,Origin,produced_in
紫石英,平易方,Literature,cited_by
紫石英,药性论,Literature,cited_by
紫石英,本草汇言,Literature,cited_by
紫石英,青囊秘方,Literature,cited_by
紫石英,青囊秘传,Literature,cited_by
紫石英,日华子本草,Literature,cited_by
紫石英,本经,Literature,cited_by
紫石英,金匮要略,Literature,cited_by
紫石英,别录,Literature,cited_by
紫石英,不宜久服妇女绝孕由于阴虚火旺不能摄受精气者忌用,Contraindication,has_contraindication
白石英,温肺肾,Efficacy,has_efficacy
白石英,安心神,Efficacy,has_efficacy
白石英,利小便,Efficacy,has_efficacy
白石英,重镇安神药,Category,belongs_to
白石英,千金翼方,Literature,cited_by
白石英,药性论,Literature,cited_by
白石英,简要济众方,Literature,cited_by
白石英,青囊秘方,Literature,cited_by
白石英,本草汇言,Literature,cited_by
白石英,本草经集注,Literature,cited_by
白石英,圣惠方,Literature,cited_by
白石英,本经,Literature,cited_by
白石英,本草求真,Literature,cited_by
白石英,别录,Literature,cited_by
马宝,镇惊化痰,Efficacy,has_efficacy
马宝,清热解毒,Efficacy,has_efficacy
马宝,重镇安神药,Category,belongs_to
马宝,东北,Origin,produced_in
马宝,西北,Origin,produced_in
马宝,西南等地,Origin,produced_in
马宝,吉林中草药,Literature,cited_by
马宝,饮片新参,Literature,cited_by
马宝,现代实用中药,Literature,cited_by
马宝,纲目,Literature,cited_by
马宝,中寒痰湿者禁服,Contraindication,has_contraindication
琥珀,镇惊安神,Efficacy,has_efficacy
琥珀,散瘀止血,Efficacy,has_efficacy
琥珀,利水通淋,Efficacy,has_efficacy
琥珀,重镇安神药,Category,belongs_to
琥珀,《本草拾遗,Literature,cited_by
琥珀,张氏医通,Literature,cited_by
琥珀,药性论,Literature,cited_by
琥珀,小儿卫生总微论方,Literature,cited_by
琥珀,圣济总录,Literature,cited_by
琥珀,外台秘要方,Literature,cited_by
琥珀,普济方,Literature,cited_by
琥珀,圣惠方,Literature,cited_by
琥珀,女科万金方,Literature,cited_by
琥珀,百一选方,Literature,cited_by
琥珀,卫生易简方,Literature,cited_by
琥珀,景岳全书,Literature,cited_by
琥珀,仁斋直指方,Literature,cited_by
琥珀,别录,Literature,cited_by
琥珀,阴虚内热及无淤滞者慎服,Contraindication,has_contraindication
珍珠,镇心安神,Efficacy,has_efficacy
珍珠,养阴熄风,Efficacy,has_efficacy
珍珠,清热坠痰,Efficacy,has_efficacy
珍珠,去翳明目,Efficacy,has_efficacy
珍珠,解毒生肌,Efficacy,has_efficacy
珍珠,重镇安神药,Category,belongs_to
珍珠,儒门事亲,Literature,cited_by
珍珠,药性论,Literature,cited_by
珍珠,圣济总录,Literature,cited_by
珍珠,纲目,Literature,cited_by
珍珠,圣惠方,Literature,cited_by
珍珠,丹台玉案,Literature,cited_by
珍珠,本草汇言,Literature,cited_by
珍珠,孕妇慎服,Contraindication,has_contraindication
乌药,行气止痛,Efficacy,has_efficacy
乌药,温肾散寒,Efficacy,has_efficacy
乌药,理气药,Category,belongs_to
乌药,本草通玄,Literature,cited_by
乌药,魏氏家藏方,Literature,cited_by
乌药,济急仙方,Literature,cited_by
乌药,妇人良方,Literature,cited_by
乌药,慎斋遗书,Literature,cited_by
乌药,纲目,Literature,cited_by
乌药,心医集,Literature,cited_by
乌药,本草拾遗,Literature,cited_by
乌药,朱氏集验医方,Literature,cited_by
乌药,卫生易简方,Literature,cited_by
乌药,江西草药,Literature,cited_by
乌药,气虚、内热、孕妇忌服,Contraindication,has_contraindication
水红花子,消瘀破积,Efficacy,has_efficacy
水红花子,健脾利湿,Efficacy,has_efficacy
水红花子,活血化瘀破血消癥药,Category,belongs_to
水红花子,滇南本草,Literature,cited_by
水红花子,新疆中草药手册,Literature,cited_by
水红花子,浙江药用植物志,Literature,cited_by
水红花子,国药提要,Literature,cited_by
水红花子,青岛中草药手册,Literature,cited_by
水红花子,血分无瘀滞及脾胃虚寒者忌服忌荤腥油腻之物,Contraindication,has_contraindication
斑蝥,破血消癓,Efficacy,has_efficacy
斑蝥,攻毒蚀疮,Efficacy,has_efficacy
斑蝥,活血化瘀破血消癥药,Category,belongs_to
斑蝥,医方大成论,Literature,cited_by
斑蝥,药性论,Literature,cited_by
斑蝥,山东中草药手册,Literature,cited_by
斑蝥,纲目,Literature,cited_by
斑蝥,圣济总录,Literature,cited_by
斑蝥,日华子本草,Literature,cited_by
斑蝥,圣惠方,Literature,cited_by
斑蝥,本经,Literature,cited_by
斑蝥,吉林中草药,Literature,cited_by
斑蝥,卫生易简方,Literature,cited_by
斑蝥,注意：斑蝥有剧毒，使用请严遵医嘱凡体质虚弱者，心、肾功能不全者，消化道溃疡者，以及孕妇均禁服,Contraindication,has_contraindication
喜树果,散结、抗癌、破血化瘀,Efficacy,has_efficacy
喜树果,活血化瘀破血消癥药,Category,belongs_to
喜树果,西南,Origin,produced_in
喜树果,中南及江苏,Origin,produced_in
喜树果,浙江等地,Origin,produced_in
喜树果,本草骈比,Literature,cited_by
喜树果,辨证施治,Literature,cited_by
喜树果,全国中草药汇编,Literature,cited_by
喜树果,内服不宜过量遵医嘱,Contraindication,has_contraindication
干漆,破瘀血、消积杀虫,Efficacy,has_efficacy
干漆,活血化瘀药,Category,belongs_to
干漆,全国大部地区都有。,Origin,produced_in
干漆,补缺肘后方,Literature,cited_by
干漆,本草求原,Literature,cited_by
干漆,药性论,Literature,cited_by
干漆,千金方,Literature,cited_by
干漆,圣济总录,Literature,cited_by
干漆,本草从新,Literature,cited_by
干漆,本草经集注,Literature,cited_by
干漆,日华子本草,Literature,cited_by
干漆,圣惠方,Literature,cited_by
干漆,经验方,Literature,cited_by
干漆,本经,Literature,cited_by
干漆,万病回春,Literature,cited_by
干漆,本草经疏,Literature,cited_by
干漆,名医别录,Literature,cited_by
虻虫,破血通经、逐瘀消癥,Efficacy,has_efficacy
虻虫,活血化瘀破血消癥药,Category,belongs_to
虻虫,东北,Origin,produced_in
虻虫,华北及华东各地,Origin,produced_in
虻虫,药性论,Literature,cited_by
虻虫,妇人良方,Literature,cited_by
虻虫,千金方,Literature,cited_by
虻虫,现代实用中药,Literature,cited_by
虻虫,本经,Literature,cited_by
虻虫,伤寒论,Literature,cited_by
虻虫,品汇精要,Literature,cited_by
虻虫,别录,Literature,cited_by
虻虫,"孕妇、月经期、气血虚忌服
①《药性论》：""恶麻黄""
②《品汇精要》：""妊娠不可服，服之堕胎""",Contraindication,has_contraindication
马钱子,通络止痛,Efficacy,has_efficacy
马钱子,散结消肿,Efficacy,has_efficacy
马钱子,活血化瘀活血疗伤药,Category,belongs_to
马钱子,医方摘要,Literature,cited_by
马钱子,贵州省中医验方秘方,Literature,cited_by
马钱子,中药志,Literature,cited_by
马钱子,纲目,Literature,cited_by
马钱子,良朋汇集,Literature,cited_by
马钱子,浙江中医杂志,Literature,cited_by
马钱子,本草经疏,Literature,cited_by
雪上一枝蒿,袪风湿,Efficacy,has_efficacy
雪上一枝蒿,活血止痛,Efficacy,has_efficacy
雪上一枝蒿,活血化瘀活血疗伤药,Category,belongs_to
雪上一枝蒿,中药志,Literature,cited_by
雪上一枝蒿,纲目,Literature,cited_by
雪上一枝蒿,云南中草药,Literature,cited_by
雪上一枝蒿,云南中药志,Literature,cited_by
雪上一枝蒿,云南中草药选,Literature,cited_by
雪上一枝蒿,孕妇、老弱、婴幼儿及心脏病、溃汤病患者均禁服酒剂禁内服,Contraindication,has_contraindication
大驳骨,活血止痛,Efficacy,has_efficacy
大驳骨,化瘀接骨,Efficacy,has_efficacy
